name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_ks_stat,g-r_ks_pval,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_ks_stat,g-i_ks_pval,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_ks_stat,g-z_ks_pval,g-z_label,g-z_score,g-y_pos_mean,g-y_neg_mean,g-y_mean_diff,g-y_ks_stat,g-y_ks_pval,g-y_label,g-y_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_ks_stat,r-i_ks_pval,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_ks_stat,r-z_ks_pval,r-z_label,r-z_score,r-y_pos_mean,r-y_neg_mean,r-y_mean_diff,r-y_ks_stat,r-y_ks_pval,r-y_label,r-y_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_ks_stat,i-z_ks_pval,i-z_label,i-z_score,i-y_pos_mean,i-y_neg_mean,i-y_mean_diff,i-y_ks_stat,i-y_ks_pval,i-y_label,i-y_score,z-y_pos_mean,z-y_neg_mean,z-y_mean_diff,z-y_ks_stat,z-y_ks_pval,z-y_label,z-y_score,total,score
IC2247,SW,E,W,0.046457184966098485,0.032255401585790815,0.01420178338030767,0.23809523809523808,0.0015190419129829647,W,1,0.05942798671949536,0.035890279661018216,0.023537707058477145,0.24603174603174602,0.000928840915076966,W,1,0.0886386591882766,0.05530398816102554,0.03333467102725106,0.2698412698412698,0.00019191174358864995,W,1,0.08665392106872581,0.045598782946327375,0.04105513812239844,0.2698412698412698,0.00019191174358864995,W,1,0.012970801753396889,0.003634878075227405,0.009335923678169484,0.2619047619047619,0.0003301707416575734,W,1,0.042181474222178134,0.02304858657523472,0.019132887646943413,0.25396825396825395,0.000558480297056037,W,1,0.040196736102627334,0.013343381360536559,0.026853354742090774,0.2698412698412698,0.00019191174358864995,W,1,0.02921067246878125,0.019413708500007315,0.009796963968773935,0.20634920634920634,0.009196131543607206,W,1,0.027225934349230468,0.009708503285309153,0.017517431063921313,0.2857142857142857,6.160130041118292e-05,W,1,-0.0019847381195507775,-0.009705205214698165,0.007720467095147388,0.35714285714285715,1.5643428983172553e-07,W,1,10,1
IC540,SW,E,W,0.029583200100838987,-0.006587133780381803,0.03617033388122079,0.5488945578231292,3.6785138494306104e-14,W,1,0.0429156705296761,-0.014585340599831973,0.05750101112950807,0.5652636054421769,9.812875860469457e-15,W,1,0.07053772397010506,-0.008685830852064778,0.07922355482216983,0.5771683673469388,1.8974744564257754e-15,W,1,0.07234161352156432,-0.019885268890946273,0.09222688241251059,0.5752551020408163,2.747296504500933e-15,W,1,0.013332470428837116,-0.007998206819450173,0.02133067724828729,0.5654761904761905,9.633021394406024e-15,W,1,0.040954523869266075,-0.002098697071682977,0.04305322094094905,0.5374149659863946,1.5914922933833405e-13,W,1,0.04275841342072533,-0.013298135110564475,0.05605654853128981,0.5739795918367347,2.785438331568381e-15,W,1,0.02762205344042896,0.005899509747767196,0.021722543692661765,0.45450680272108845,1.2401787958298647e-09,W,1,0.029425942991888214,-0.005299928291114301,0.034725871283002516,0.491921768707483,3.7993604551852204e-11,W,1,0.001803889551459254,-0.011199438038881496,0.01300332759034075,0.47278911564625853,2.8336070185245775e-10,W,1,10,1
IC944,SW,N,S,0.018208918221660635,-0.0028544399374619673,0.0210633581591226,0.7948369565217391,1.311299909111899e-51,S,1,0.03561527851973826,-0.00389323700078929,0.03950851552052755,0.8505046583850931,4.7831501971194244e-60,S,1,0.048934312554862414,-0.0038734802497179797,0.052807792804580395,0.900388198757764,1.245217304724639e-69,S,1,0.04816371390494712,-0.014670829833422595,0.06283454373836972,0.925388198757764,1.347171585172652e-75,S,1,0.017406360298077617,-0.0010387970633273218,0.018445157361404937,0.7759704968944099,9.910891307047969e-49,S,1,0.030725394333201782,-0.0010190403122560135,0.03174443464545779,0.8319875776397515,1.9765390430262095e-57,S,1,0.029954795683286482,-0.011816389895960627,0.04177118557924711,0.8880046583850931,1.584117896298442e-67,S,1,0.013319034035124166,1.9756751071308322e-05,0.013299277284052858,0.8569099378881988,8.475392476717954e-62,S,1,0.012548435385208867,-0.010777592832633307,0.023326028217842174,0.8569875776397515,6.503406759388514e-62,S,1,-0.0007705986499152995,-0.010797349583704614,0.010026750933789314,0.4592391304347826,5.545600183591766e-16,S,1,10,1
MCG-02-02-040,NW,NW,SE,-0.06134912890843767,-0.08034667788809555,0.01899754897965788,0.16872950386120808,0.035788436919868175,SE,-1,0.024897763205925565,-0.0012701490972959323,0.026167912303221498,0.21284248386755528,0.0034534954234419052,SE,-1,0.048088782564790496,0.038012560972495654,0.010076221592294841,0.19115624669417117,0.011756687890523754,SE,-1,0.07155764299461331,0.0762166736521217,-0.0046590306575083895,0.2270178779223527,0.0014160698768257846,NW,1,0.08624689211436325,0.07907652879079959,0.007170363323563661,0.1609541944356289,0.050280717328395445,SE,-1,0.10943791147322816,0.11835923886059117,-0.00892132738736301,0.20559610705596107,0.005279918550468583,NW,1,0.132906771903051,0.1565633515402172,-0.023656579637166192,0.2343171479953454,0.0008830375157800602,NW,1,0.023191019358864928,0.03928271006979159,-0.01609169071092666,0.329472125251243,4.593384333689752e-07,NW,1,0.04665987978868774,0.07748682274941762,-0.03082694296072988,0.3074685285094679,3.3380176049589933e-06,NW,1,0.02346886042982282,0.038204112679626034,-0.014735252249803214,0.23505765365492437,0.0008649557431825238,NW,1,2,1
MCG-02-03-015,NW,W,E,-0.007114305578326744,0.0072833771254365255,-0.014397682703763268,0.6409636019356196,2.5407445062574723e-19,W,1,0.004431189568931974,0.02882807913271454,-0.024396889563782567,0.5689038501998738,5.296156236614577e-15,W,1,0.004435534620766468,0.035606076744752746,-0.03117054212398628,0.6401220281927203,3.686308672214198e-19,W,1,0.0031698905156695894,0.03917321675198232,-0.03600332623631273,0.6510624868504102,6.370308274424989e-20,W,1,0.011545495147258718,0.02154470200727802,-0.009999206860019302,0.32347990742688826,4.603834117616868e-05,W,1,0.011549840199093213,0.02832269961931622,-0.016772859420223007,0.4265726909320429,1.2531820139192911e-08,W,1,0.010284196093996332,0.0318898396265458,-0.021605643532549464,0.5592257521565327,1.2188405497209147e-14,W,1,4.345051834495166e-06,0.006777997612038203,-0.006773652560203708,0.49821165579633914,1.0510153683707142e-11,W,1,-0.0012612990532623837,0.01034513761926778,-0.011606436672530165,0.5583841784136335,2.0911047158540715e-14,W,1,-0.0012656441050968787,0.003567140007229576,-0.004832784112326455,0.5478645066273933,7.625026673354155e-14,W,1,10,1
NGC1542,SW,NE,SW,0.07357647565350105,0.025683596208277308,0.04789287944522374,0.5952380952380952,4.0084022315003005e-10,SW,1,0.1238785129429609,0.038707375554863956,0.08517113738809695,0.6300125313283208,2.456513976156948e-11,SW,1,0.14777741417428808,0.03989050111120012,0.10788691306308795,0.6801378446115288,8.346146996337395e-13,SW,1,0.16205757132912604,0.03590218051107367,0.12615539081805238,0.6989348370927319,1.1525427251322508e-13,SW,1,0.050302037289459874,0.013023779346586639,0.03727825794287323,0.6801378446115288,8.346146996337395e-13,SW,1,0.07420093852078705,0.014206904902922812,0.059994033617864234,0.6995614035087719,7.676122387345206e-14,SW,1,0.08848109567562502,0.01021858430279636,0.07826251137282866,0.7875939849624061,8.19266077679577e-18,SW,1,0.023898901231327187,0.0011831255563361728,0.022715775674991015,0.7515664160401002,6.232377908774709e-16,SW,1,0.03817905838616515,-0.0028051950437902803,0.04098425342995543,0.8045112781954887,1.4238541084521721e-18,SW,1,0.01428015715483796,-0.003988320600126453,0.018268477754964412,0.7694235588972431,8.348245748631868e-17,SW,1,10,1
NGC3067,NE,NE,SW,0.010875005737198773,0.043547929300124036,-0.03267292356292526,0.3730990746133437,1.8708705423520007e-19,NE,1,0.005041422521184169,0.04705790489584792,-0.04201648237466375,0.31670225846114025,5.304380126835106e-14,NE,1,0.011888592038822119,0.06855797736183512,-0.05666938532301301,0.40228434608166697,1.4853785551044866e-22,NE,1,-0.01053603388573387,0.05377533241730998,-0.06431136630304385,0.39225393127548047,2.0745565702204155e-21,NE,1,-0.0058335832160146045,0.003509975595723891,-0.009343558811738496,0.1653400634181065,0.00040641513444323007,NE,1,0.0010135863016233456,0.025010048061711098,-0.023996461760087753,0.35488254707823724,1.4733900925346157e-17,NE,1,-0.02141103962293264,0.010227403117185946,-0.03163844274011859,0.37510515757458096,1.4575695341539612e-19,NE,1,0.00684716951763795,0.021500072465987206,-0.014652902948349256,0.5143984986733967,1.9453380933327674e-37,NE,1,-0.015577456406918041,0.006717427521462058,-0.0222948839283801,0.4806510062770983,2.592177194074036e-32,NE,1,-0.022424625924555984,-0.014782644944525147,-0.007641980980030837,0.3344010871675403,1.144726700591942e-15,NE,1,10,1
NGC3079,SW,E,W,0.034203504406704756,0.01004447983411764,0.024159024572587118,0.18771626297577854,3.2560503911729063e-18,W,1,0.14276506509598336,0.0912820504513857,0.05148301464459766,0.20761245674740483,3.2569355014172843e-22,W,1,0.1873556729786083,0.11929285838176615,0.06806281459684216,0.21539792387543252,6.836132296223382e-24,W,1,0.21287202181550313,0.13649722660234292,0.07637479521316021,0.2171280276816609,2.8396611867320555e-24,W,1,0.10856156068927858,0.08123757061726807,0.027323990072010515,0.1894463667820069,1.5179942176197195e-18,W,1,0.1531521685719035,0.10924837854764849,0.04390379002425501,0.21626297577854672,4.409937405885212e-24,W,1,0.17866851740879836,0.1264527467682253,0.05221577064057306,0.21453287197231835,1.0577935986997635e-23,W,1,0.04459060788262493,0.028010807930380435,0.016579799952244494,0.2586505190311419,2.2098060827219655e-34,W,1,0.07010695671951976,0.04521517615095724,0.02489178056856252,0.22491349480968859,4.9804416834918207e-26,W,1,0.02551634883689483,0.01720436822057681,0.008311980616318018,0.16089965397923875,1.789690603440061e-13,W,1,10,1
NGC3169,SE,NW,SE,0.021200495300219366,7.934797665894423e-05,0.02112114732356042,0.7651639344262295,1.1825083769695164e-175,SE,1,0.03899487461864129,0.006026563201568957,0.032968311417072335,0.7355371009490941,2.419851921068002e-160,SE,1,0.05030459618613149,0.009863519678713059,0.04044107650741843,0.732204486626402,1.0334732096474401e-158,SE,1,0.04900148287554957,0.0060841799263888,0.04291730294916077,0.7584771354616048,4.480099886210715e-172,SE,1,0.017794379318421927,0.005947215224910013,0.011847164093511914,0.6563902070750647,1.7838273720166648e-124,SE,1,0.029104100885912133,0.009784171702054114,0.01931992918385802,0.6663341242450388,1.283564078638773e-128,SE,1,0.027800987575330206,0.006004831949729856,0.02179615562560035,0.7206158326143227,4.071437115303607e-153,SE,1,0.011309721567490206,0.0038369564771441014,0.007472765090346105,0.6893550474547023,1.1994281694369435e-138,SE,1,0.010006608256908281,5.761672481984315e-05,0.009948991532088438,0.7681568162208801,2.649269192342949e-177,SE,1,-0.001303113310581924,-0.0037793397523242585,0.0024762264417423343,0.3108984037963762,1.397279815750165e-26,SE,1,10,1
NGC3495,NW,NW,SE,0.009318151573794772,0.008585797439857056,0.0007323541339377161,0.029143897996357013,0.7397882860095397,SE,-1,0.02466713676510754,0.02605534367811397,-0.0013882069130064303,0.07832422586520947,0.002365976525373988,NW,1,0.025241304726362768,0.02871483819616488,-0.0034735334698021113,0.09380692167577413,0.00012605798595772852,NW,1,0.012968213232446148,0.01896296541740795,-0.005994752184961802,0.09562841530054644,8.62203406153157e-05,NW,1,0.015348985191312768,0.017469546238256917,-0.002120561046944148,0.07741347905282331,0.0027653664397542356,NW,1,0.015923153152567992,0.020129040756307823,-0.004205887603739831,0.06648451730418943,0.015582753486520596,NW,1,0.003650061658651375,0.010377167977550894,-0.006727106318899519,0.07377049180327869,0.005067201217798003,NW,1,0.0005741679612552287,0.0026594945180509074,-0.0020853265567956788,0.08287795992714025,0.0010552688499981728,NW,1,-0.01169892353266139,-0.007092378260706022,-0.004606545271955369,0.07285974499089254,0.005868595466575475,NW,1,-0.012273091493916618,-0.009751872778756929,-0.002521218715159689,0.07650273224043716,0.003226260841703322,NW,1,8,1
